	1.504288	0.004669660117509197
1	0.202176	0.0008762584464779783
11	0.0	0.0
12	0.0	0.0
13	0.202766	0.00040205963394004127
131	0.0	0.0
132	0.02881225	7.983055022945476e-5
1321	0.0	0.0
1322	2.625e-6	4.0503778758901003e-7
1323	0.0231395625	3.0179186595377177e-5
13231	8.321875e-5	1.1372632098148772e-6
13232	0.000635875	3.087265757814672e-6
13233	0.01492209375	3.2386467791287356e-6
132331	0.0032528515625	1.4578779538620282e-6
132332	0.003854703125	4.4575542637917956e-7
132333	0.00390625	0.0
132334	0.00390625	0.0
13234	0.00752346875	7.807151669240418e-6
132341	1.209375e-5	2.1701371419437414e-7
132342	0.001249234375	1.821876849203071e-6
1323421	9.27734375e-8	9.517901719806113e-9
1323422	0.0003344794921875	4.6342593625664457e-7
1323423	0.0006534052734375	4.595134774795778e-7
1323424	0.0002647529296875	4.3411250744459653e-7
132343	0.00384635546875	4.799746428944511e-7
132344	0.00242659765625	1.8948669898989136e-6
1323441	0.000306072265625	4.530104470258865e-7
1323442	0.00038900390625	4.780821980784338e-7
1323443	0.000973025390625	5.8665980186925525e-8
1323444	0.0007585927734375	4.066328311861456e-7
1324	0.005646	1.7916408233795078e-5
13241	7.8125e-8	3.493847480191966e-8
13242	3.5953125e-5	7.486487500341761e-7
13243	0.00560340625	7.493668064019845e-6
132431	0.00024479296875	9.467306568556069e-7
132432	0.000674359375	1.4762979854837436e-6
132433	0.00390604296875	2.8437175639883117e-8
132434	0.00078433984375	1.5648126163073532e-6
1324341	2.734375e-8	5.167410684154196e-9
1324342	0.000436333984375	4.855101035979047e-7
1324343	0.00034698828125	4.673915661234957e-7
1324344	5.41015625e-7	2.2979183479457407e-8
13244	5.046875e-6	2.8077028141834095e-7
133	0.17423825	0.00011489384116190693
1331	0.0231774375	3.0189339752362818e-5
13311	2.96875e-6	2.1535530008206787e-7
13312	0.00725940625	7.792896993654603e-6
133121	9.28515625e-6	1.9022073355703261e-7
133122	0.0024351796875	1.8927019162784924e-6
1331221	0.000310578125	4.5479685406431393e-7
1331222	0.0007570869140625	4.0762984933574346e-7
1331223	0.0009752109375	3.6305075853314134e-8
1331224	0.00039558203125	4.794011200912052e-7
133123	0.003855609375	4.418715520440969e-7
133124	0.00096837890625	1.686704596682275e-6
1331241	1.37109375e-6	3.656608869106848e-8
1331242	0.00030770703125	4.536645573817616e-7
1331243	0.00065946484375	4.572906694132272e-7
1331244	2.7109375e-6	5.138142388271119e-8
13313	0.014517375	4.0099635265641745e-6
133131	0.00313914453125	1.5517908806016776e-6
133132	0.00390625	0.0
133133	0.00390625	0.0
133134	0.003570625	1.0947104711406573e-6
13314	0.00135175	4.392478308142227e-6
133141	1.3875e-5	2.3239342315349633e-7
133142	0.00127158203125	1.8303541863181662e-6
1331421	1.4388671875e-5	1.1766224330516255e-7
1331422	0.000368982421875	4.7348322959695646e-7
1331423	0.00081060546875	3.667774217543449e-7
1331424	7.86142578125e-5	2.6569067468319115e-7
133143	7.150390625e-5	5.236404541095481e-7
133144	0.0	0.0
1332	0.0625	0.0
1333	0.0625	0.0
1334	0.026030125	3.0810962415743764e-5
13341	0.000954015625	3.7411693797368838e-6
133411	2.8515625e-7	3.337379641987986e-8
133412	0.00074128515625	1.5317119372535346e-6
133413	0.0002082265625	8.775116571505239e-7
133414	0.0	0.0
13342	0.015355734375	2.0334137340488216e-6
13343	0.00976159375	7.565460316709812e-6
133431	0.00248544921875	1.8791828521347257e-6
1334311	0.0005295576171875	4.865334938247984e-7
1334312	0.0009765625	0.0
1334313	0.000901087890625	2.6078584424286643e-7
1334314	7.6517578125e-5	2.624295288750483e-7
133432	0.00390625	0.0
133433	0.00305618359375	1.6118185395320629e-6
1334331	0.0009638056640625	1.1088332035107261e-7
1334332	0.0009765625	0.0
1334333	0.000836001953125	3.4279569968104635e-7
1334334	0.0002787421875	4.410351010840108e-7
133434	0.00031137890625	1.0580014316066006e-6
13344	1.421875e-6	1.490462181555922e-7
134	0.0	0.0
14	0.0	0.0
2	0.548696	0.0013761237951521656
21	9.8e-5	9.899009849474844e-6
22	0.0	0.0
23	0.059769	0.00023705836125097974
231	0.0	0.0
232	0.0	0.0
233	0.00026975	8.207602264821317e-6
234	0.058917	0.0001061038977182271
2341	0.001217	8.636052975752291e-6
23411	1.5625e-8	1.5624992187498045e-8
23412	0.0	0.0
23413	0.0006351875	3.0856671122050333e-6
23414	0.000574484375	2.9404567778248096e-6
2342	1.58125e-5	9.939975929768391e-7
